ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
32,3LEDid17,10,2.287503296,1.556255594,11.19311616,1,0,0.990812918,8.760392942,0.519818489,0.00241483,3.053847377,2.375524417,0.005043871,120,127,60,0
33,3LEDid17,10,3.29536868,1.673719997,17.73161198,0.381681514,0.618318486,0.29064588,11.94643379,0.152232372,0.008498423,3.053847377,2.375524417,0.005043871,120,127,60,0
34,3LEDid36,10,2.973539111,1.379752618,12.84521485,0.790691193,0.209308807,0.772575251,4.913567188,0.287178209,0.001716285,3.053847377,2.375524417,0.005043871,120,127,60,0
35,3LEDid36,10,1.804690949,0.958611522,5.440806415,0.945373467,0.054626533,0.909141583,7.068137313,0.199122836,0.00207121,3.053847377,2.375524417,0.005043871,120,127,60,0
36,3LEDid36,10,2.770513486,1.902016017,16.64372927,1,0,0.963489409,5.99615575,0.152254434,0.001655786,3.053847377,2.375524417,0.005043871,120,127,60,0
37,3LEDid36,10,2.537030993,1.412103305,11.2427116,1,0,1,9.240709274,0.39066903,0.002549948,3.053847377,2.375524417,0.005043871,120,127,60,0
38,3LEDid36,10,2.748508564,1.514660616,13.04959154,1,0,0.963768116,10.09955777,0.232775597,0.002790272,3.053847377,2.375524417,0.005043871,120,127,60,0
39,3LEDid36,10,2.438547032,1.630275398,12.47727808,1,0,1,7.426378924,0.396803635,0.002053202,3.053847377,2.375524417,0.005043871,120,127,60,0
40,3LEDid36,10,2.250689466,1.240318681,8.765527776,0.981884058,0.018115942,0.964046823,9.91579466,0.60421869,0.00279322,3.053847377,2.375524417,0.005043871,120,127,60,0
41,3LEDid36,10,2.836683823,1.32707318,11.80667097,0.963210702,0.036789298,0.963210702,4.575673813,0.091735763,0.001310228,3.053847377,2.375524417,0.005043871,120,127,60,0
42,3LEDid36,10,1.899418691,1.038892216,6.195641084,0.981884058,0.018115942,0.972686734,6.804182747,0.930645123,0.001912681,3.053847377,2.375524417,0.005043871,120,127,60,0
43,3LEDid36,10,2.285466782,1.225221074,8.861173659,0.954570792,0.045429208,0.954570792,8.369353877,0.273808151,0.002421203,3.053847377,2.375524417,0.005043871,120,127,60,0
44,3LEDid36,10,2.753657024,1.364692665,11.7893638,1,0,0.990802676,6.508046629,0.113826988,0.00179803,3.053847377,2.375524417,0.005043871,120,127,60,0
45,3LEDid36,10,2.83237559,1.201583644,10.67992193,0.181716834,0.818283166,0.127090301,7.405740009,0.109913706,0.010808925,3.053847377,2.375524417,0.005043871,120,127,60,0
46,3LEDid11,11,3.129085518,1.676871228,16.25772723,0.036469933,0.963530067,0,10.5513614,0.068374376,0.064407226,3.280151745,2.758006,0.226647636,120,127,60,127
47,3LEDid11,11,3.256788165,2.095773053,21.36080155,1,0,0.945434298,13.24332184,0.465742808,0.003656725,3.280151745,2.758006,0.226647636,120,127,60,127
48,3LEDid11,11,2.785752023,1.428944787,12.50687781,0.963808463,0.036191537,0.772828508,27.94176911,0.537752873,0.007997728,3.280151745,2.758006,0.226647636,120,127,60,127
49,3LEDid11,11,2.308323834,1.245498868,9.017665488,1,0,0.872216036,13.6967102,0.282462481,0.003777421,3.280151745,2.758006,0.226647636,120,127,60,127
50,3LEDid11,11,3.131984719,1.762303525,17.36608657,0.918429844,0.081570156,0.845489978,22.30007326,0.912941879,0.006697229,3.280151745,2.758006,0.226647636,120,127,60,127
51,3LEDid11,11,3.791051984,2.005252553,23.84014096,0.118318486,0.881681514,0.027004454,8.771223779,0.177229673,0.019097322,3.280151745,2.758006,0.226647636,120,127,60,127
52,3LEDid11,11,2.716561856,1.503111733,12.81713561,1,0,0.981904232,9.225218294,0.342827898,0.002547896,3.280151745,2.758006,0.226647636,120,127,60,127
53,3LEDid11,11,1.882756138,1.050510159,6.508757751,0.018095768,0.981904232,0,2.542618273,0.008788676,0.025988175,3.280151745,2.758006,0.226647636,120,127,60,127
54,3LEDid11,11,2.472335036,1.055929583,8.180671287,0.981904232,0.018095768,0.954621381,11.74394411,0.328637161,0.003298954,3.280151745,2.758006,0.226647636,120,127,60,127
55,3LEDid11,11,2.742776879,1.299768187,11.20567114,0.091035635,0.908964365,0.009187082,20.36962899,0.082834027,0.05657262,3.280151745,2.758006,0.226647636,120,127,60,127
